0,823,3.0
0,824,3.0
0,826,3.0
0,827,3.0
0,828,3.0
0,829,3.0
0,830,3.0
0,831,3.0
0,832,3.0
0,820,7.0
0,833,9.0
0,834,9.0
0,835,9.0
0,836,9.0
0,821,9.333333
0,825,6.0
0,822,3.0
10,856,6.0
10,855,7.0
10,851,8.0
10,858,9.0
10,857,2.0
10,854,2.0
10,853,2.0
10,852,2.0
10,845,2.0
10,844,2.0
10,839,3.0
2,840,9.0
2,861,10.0
2,849,10.0
2,848,10.0
2,839,10.0
2,838,10.0
2,825,10.0
4,955,6.0
4,952,5.0
4,954,8.0
4,950,8.0
4,949,9.0
4,947,9.0
4,946,5.0
4,945,2.0
4,944,3.0
4,943,1.0
3,956,8.0
3,936,8.0
3,933,8.0
3,934,9.0
3,932,2.0
3,931,2.0
3,930,2.0
3,929,3.0
3,928,3.0
3,923,3.0
3,955,3.0
3,953,6.0
3,952,9.0
3,951,9.0
3,950,9.0
3,949,9.0
3,858,6.0
3,857,7.0
3,823,7.0
3,825,8.0
5,822,3.0
5,823,3.0
5,824,3.0
5,826,3.0
5,827,3.0
5,828,3.0
5,829,3.0
5,830,3.0
5,831,3.0
5,832,3.0
3,833,9.0
3,834,9.0
3,835,9.0
3,836,9.0
4,821,10.0
3,820,7.0
3,821,9.0
